Filename,Time (ps),Total Energy (kJ/mol),dH/dλ vdw-lambda = 0.0000,ΔH λ to 0.0000,ΔH λ to 0.1000,ΔH λ to 0.2000,ΔH λ to 0.3000,ΔH λ to 0.4000,ΔH λ to 0.5000,ΔH λ to 0.6000,ΔH λ to 0.7000,ΔH λ to 0.8000,ΔH λ to 0.9000,ΔH λ to 1.0000
dhdl_modified_377.xvg,0.0000,6591269.5,-38470984.,0.0000000,-113207.77,-113443.93,-113486.52,-113500.89,-113506.87,-113509.54,-113510.75,-113511.29,-113511.53,-113511.62
dhdl_modified_378.xvg,0.0000,6158508.5,-36689732.,0.0000000,-109669.98,-109905.65,-109948.19,-109962.56,-109968.53,-109971.19,-109972.40,-109972.95,-109973.18,-109973.27
dhdl_modified_379.xvg,0.0000,5755321.0,-34995320.,0.0000000,-106251.27,-106486.44,-106528.94,-106543.29,-106549.26,-106551.92,-106553.13,-106553.68,-106553.91,-106554.00
dhdl_modified_380.xvg,0.0000,5379609.0,-33383310.,0.0000000,-102947.35,-103182.02,-103224.47,-103238.80,-103244.77,-103247.43,-103248.64,-103249.18,-103249.42,-103249.51
dhdl_modified_381.xvg,0.0000,5029435.5,-31849486.,0.0000000,-99754.064,-99988.224,-100030.62,-100044.95,-100050.91,-100053.57,-100054.78,-100055.32,-100055.56,-100055.65
dhdl_modified_382.xvg,0.0000,4703000.5,-30389880.,0.0000000,-96667.464,-96901.114,-96943.463,-96957.779,-96963.738,-96966.393,-96967.601,-96968.145,-96968.379,-96968.469
dhdl_modified_383.xvg,0.0000,4398631.0,-29000702.,0.0000000,-93683.682,-93916.816,-93959.115,-93973.419,-93979.373,-93982.027,-93983.235,-93983.778,-93984.012,-93984.102
dhdl_modified_384.xvg,0.0000,4114789.2,-27678414.,0.0000000,-90799.110,-91031.722,-91073.970,-91088.262,-91094.212,-91096.864,-91098.071,-91098.614,-91098.848,-91098.938
dhdl_modified_385.xvg,0.0000,3850037.2,-26419630.,0.0000000,-88010.192,-88242.278,-88284.474,-88298.753,-88304.700,-88307.350,-88308.556,-88309.099,-88309.332,-88309.422
dhdl_modified_386.xvg,0.0000,3603034.2,-25221104.,0.0000000,-85313.444,-85544.998,-85587.142,-85601.409,-85607.351,-85610.000,-85611.205,-85611.748,-85611.980,-85612.070
dhdl_modified_387.xvg,0.0000,3372557.5,-24079858.,0.0000000,-82705.694,-82936.712,-82978.802,-82993.057,-82998.995,-83001.642,-83002.846,-83003.388,-83003.621,-83003.711
dhdl_modified_388.xvg,0.0000,3157449.8,-22992966.,0.0000000,-80183.669,-80414.145,-80456.181,-80470.424,-80476.357,-80479.002,-80480.206,-80480.748,-80480.981,-80481.070
dhdl_modified_389.xvg,0.0000,2956658.0,-21957768.,0.0000000,-77744.502,-77974.430,-78016.413,-78030.643,-78036.571,-78039.215,-78040.418,-78040.959,-78041.192,-78041.281
dhdl_modified_390.xvg,0.0000,2769179.8,-20971608.,0.0000000,-75385.075,-75614.451,-75656.378,-75670.596,-75676.520,-75679.161,-75680.364,-75680.905,-75681.137,-75681.227
dhdl_modified_391.xvg,0.0000,2594119.5,-20032150.,0.0000000,-73102.849,-73331.667,-73373.540,-73387.744,-73393.664,-73396.303,-73397.505,-73398.045,-73398.278,-73398.367
dhdl_modified_392.xvg,0.0000,2430608.0,-19136994.,0.0000000,-70894.927,-71123.182,-71164.998,-71179.189,-71185.104,-71187.742,-71188.943,-71189.483,-71189.715,-71189.805
dhdl_modified_393.xvg,0.0000,2277854.2,-18283942.,0.0000000,-68758.690,-68986.377,-69028.136,-69042.315,-69048.225,-69050.861,-69052.061,-69052.601,-69052.832,-69052.922
dhdl_modified_394.xvg,0.0000,2135130.5,-17470954.,0.0000000,-66691.748,-66918.862,-66960.564,-66974.729,-66980.634,-66983.268,-66984.467,-66985.007,-66985.239,-66985.328
dhdl_modified_395.xvg,0.0000,2001748.0,-16696024.,0.0000000,-64691.602,-64918.137,-64959.781,-64973.932,-64979.833,-64982.465,-64983.663,-64984.203,-64984.434,-64984.523
dhdl_modified_396.xvg,0.0000,1877078.2,-15957318.,0.0000000,-62756.047,-62981.998,-63023.584,-63037.722,-63043.618,-63046.248,-63047.445,-63047.984,-63048.215,-63048.305
dhdl_modified_397.xvg,0.0000,1760524.5,-15253021.,0.0000000,-60882.741,-61108.103,-61149.630,-61163.754,-61169.645,-61172.273,-61173.469,-61174.008,-61174.239,-61174.328
dhdl_modified_398.xvg,0.0000,1651538.4,-14581463.,0.0000000,-59069.566,-59294.334,-59335.801,-59349.911,-59355.797,-59358.423,-59359.618,-59360.156,-59360.387,-59360.477
dhdl_modified_399.xvg,0.0000,1549613.8,-13941063.,0.0000000,-57314.503,-57538.671,-57580.078,-57594.173,-57600.054,-57602.678,-57603.873,-57604.410,-57604.641,-57604.730
dhdl_modified_400.xvg,0.0000,1454270.1,-13330273.,0.0000000,-55615.473,-55839.036,-55880.382,-55894.463,-55900.339,-55902.961,-55904.155,-55904.692,-55904.923,-55905.012
dhdl_modified_401.xvg,0.0000,1365064.4,-12747643.,0.0000000,-53970.516,-54193.468,-54234.753,-54248.819,-54254.690,-54257.310,-54258.503,-54259.040,-54259.270,-54259.359
dhdl_modified_402.xvg,0.0000,1281594.4,-12191868.,0.0000000,-52377.952,-52600.288,-52641.511,-52655.563,-52661.428,-52664.046,-52665.238,-52665.774,-52666.005,-52666.094
dhdl_modified_403.xvg,0.0000,1203470.9,-11661609.,0.0000000,-50835.882,-51057.598,-51098.757,-51112.794,-51118.655,-51121.270,-51122.461,-51122.997,-51123.228,-51123.316
dhdl_modified_404.xvg,0.0000,1130337.8,-11155635.,0.0000000,-49342.592,-49563.681,-49604.777,-49618.799,-49624.655,-49627.268,-49628.458,-49628.994,-49629.224,-49629.312
dhdl_modified_405.xvg,0.0000,1061861.4,-10672762.,0.0000000,-47896.366,-48116.825,-48157.856,-48171.863,-48177.713,-48180.324,-48181.513,-48182.049,-48182.279,-48182.367
dhdl_modified_406.xvg,0.0000,997740.75,-10211933.,0.0000000,-46495.764,-46715.586,-46756.552,-46770.544,-46776.389,-46778.998,-46780.186,-46780.721,-46780.951,-46781.039
dhdl_modified_407.xvg,0.0000,937683.00,-9772062.0,0.0000000,-45139.164,-45358.344,-45399.245,-45413.222,-45419.061,-45421.667,-45422.854,-45423.389,-45423.619,-45423.707
dhdl_modified_408.xvg,0.0000,881420.38,-9352144.0,0.0000000,-43825.063,-44043.595,-44084.431,-44098.391,-44104.225,-44106.829,-44108.015,-44108.549,-44108.779,-44108.867
dhdl_modified_409.xvg,0.0000,828702.50,-8951227.0,0.0000000,-42552.038,-42769.918,-42810.686,-42824.632,-42830.459,-42833.061,-42834.246,-42834.780,-42835.009,-42835.098
dhdl_modified_410.xvg,0.0000,779296.94,-8568402.0,0.0000000,-41318.683,-41535.906,-41576.607,-41590.536,-41596.358,-41598.957,-41600.142,-41600.675,-41600.904,-41600.992
dhdl_modified_411.xvg,0.0000,732989.94,-8202842.5,0.0000000,-40123.776,-40340.336,-40380.968,-40394.882,-40400.698,-40403.295,-40404.478,-40405.011,-40405.240,-40405.328
dhdl_modified_412.xvg,0.0000,689577.31,-7853710.0,0.0000000,-38965.961,-39181.853,-39222.417,-39236.313,-39242.124,-39244.719,-39245.901,-39246.433,-39246.662,-39246.750
